pk,model,fields,,,,,,,,,,,,,,,,,
,,vender_code,sku,name,abbreviated_name,brand,size_value,size_unit,price,vat_code,product_information,ingredients,free_from,allergens,usage,category_id,barcode,tags,weight_g
,products.product,0006,,Essential Female Multi - 60 Veg Caps,Essential Female Multi 60 Caps,viridian,60,caps,€46.40,T1,"Formulated specifically for the needs of the 18-39 age group. Iron contributes to the reduction of tiredness and fatigue, supports normal cognitive function, the formation of red blood cells and the immune system. B6 contributes to the regulation of hormone activity. A unique blend of high quality nutrients and botanical extracts to move beyond a basic multivitamin and support optimal health and vitality","INGREDIENTS: One vegan capsule provide:Hibiscus flower (20% total acids) 50mg, 
Cranberry fruit  50mg, 
D-Ca pantothenate (vitamin B5) 50mg, 
Vitamin C (Ascorbic acid) 65mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 3mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Iron Bisglycinate 5mg, 
Vitamin E (Natural D- Alpha tocopherol) 17mg, 
Siberian Ginseng Extract (25:1) 20mg, 
Thiamine (Vitamin B1) 13mg, 
Zinc Citrate 5mg, 
Vitamin B2 (Riboflavin) 13mg, 
Nicotinamide (vitamin B3) 13mg, 
Saffron extract (0.3% saffranal) 10mg, 
Potassium Citrate 5mg, 
Magnesium Citrate  1mg, 
Horsetail extract (2% silica) 8mg, 
Choline bitartrate 3mg, 
Selenium (Methionine)  28ug, 
Co-Q10 (Ubiquinone) 5mg, 
Calcium Citrate 5mg, 
Inositol  3mg, 
Sodium Borate 250ug, 
Vitamin D3 (Cholecalciferol) 5ug, 
Magnesium Citrate 10mg, 
Copper Citrate 1mg, 
Chromium Picolinate 50ug, 
Vitamin K1 (phylloquinone) 10ug, 
Folic Acid 200ug, 
Iodine (potassium Iodide) 38ug, 
Kelp 38ug,
Ammonium Molybdate 25ug, 
Biotin 25ug, 
Adenosylcobalamin (Vitamin B12) 5ug, 
Methylcobalamin (Vitamin B12) 5ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare professional.",32,5060003590064,Multivitamins,182
,products.product,0007,,Essential Male Multi - 90 Veg Caps,Essential Male Multi 90 Caps,viridian,90,caps,€34.60,T1,"Specifically formulated to be an exceptional masculine supplement formula. Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. Selenium contributes to normal spermatogenesis (the creation of sperm), to the maintenance of normal hair and nails, the normal function of the immune system and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Selenium contributes to normal spermatogenesis (the creation of sperm), to the maintenance of normal hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. B6 (pyridoxine) contributes the regulation of hormonal activity, to the reduction of tiredness and fatigue, the energy-yielding metabolism, to normal psychological function and the functioning of the nervous system. Vitamin B6 also contributes to the normal function of the immune system, to normal homocysteine metabolism and red blood cell formation. Copper contributes to normal energy-yielding metabolism, the maintenance of normal connective tissues, to the normal pigmentation of hair and skin, the normal function of the nervous and immune systems, and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases.  Folic acid (folate) contributes to a reduction in tiredness and fatigue, the normal function of the immune system, normal psychological function, and the processes of normal homocysteine metabolism, amino acid synthesis, cell division and blood formation.  B12 contributes to normal homocysteine metabolism and red blood cell formation, to the reduction of tiredness and fatigue, the energy-yielding metabolism, to normal psychological function and the functioning of the nervous system. Vitamin B12 also contributes to the normal function of the immune system.","Nettle Root 70mg, 
Zinc picolinate  13mg, 
Damiana Leaf 50mg, 
Pumpkin Seed 5:1 50mg, 
Organic Tomato 40mg, 
Broccoli extract 2:1 28mg, 
Lycopene Extract 250ug, 
Pine Bark Extract (95% OPC) 15mg, 
Co-Q10 (Ubiquinone) 13mg, 
Selenium (Methionine)  50ug, 
Pyridoxine HCl (Vitamin B6) 5mg, 
Grape Seed Extract (95% OPC) 5mg, 
Copper Citrate 1mg, 
Folic Acid 200ug, 
Cyanocobalamin Vitamin B12 100ug
In a base of Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare professional.",32,5060003590071,Multivitamins,234
,products.product,0107,,Brain Support Multi - 60 Veg Caps,Brain Support Multi - 60s,viridian,60,caps,€38.15,T1,"Brain Support Multi is a specific multivitamin and mineral formulation featuring a blend of 22 nutrients including supportive vitamins to promote brain health and function, together with bioavailable minerals and selected phytonutrients. 

Contains 100% active ingredients providing the nutritional building blocks for normal brain activity. Includes iodine, iron and zinc which all contribute to normal cognitive function.

Supplement daily to support overall brain health, in conjunction with a healthy balanced diet and exercise.


KEY FEATURES:


22 essential ingredients formulated to provide the core nutrients to support the brain.
Contains a high dose of choline.
Contains brahmi extract at the therapeutic dose.
Additionally contains iodine, iron and zinc which all contribute to normal cognitive function.
100% active ingredients with no fillers, binders or nasties.
Vegan, never GMO, palm oil free, against animal testing, ethically made.","Two capsules provides:
Choline (as bitartrate) 200mg
Brahmi (Bacopa monnieri) extract 300mg
Providing 50% Bacosides
Iodine (from Kelp and potassium iodide) 150ug 100
Vitamin C (as magnesium ascorbate) 80mg 100
Natural Beta Carotene/Carotenoid Mix 5mg
(Dunaliella salina)
Providing (typical analysis):
Beta Carotene 4.5mg
Cryptoxanthin 39ug, Alpha Carotene 158ug
Zeaxanthin 32ug, Lutein 25ug
Vitamin E Natural 33mg 275
(D-Alpha Tocopherol Succinate) (50IU)
Zinc (as citrate) 10mg 100
Vitamin B5 (as calcium d-pantothenate) 30mg 500
Vitamin B3 (as nicotinamide) 30mg 186
Vitamin B6 (as pyridoxine HCl) 20mg 1429
Vitamin B1 (as thiamine HCl) 20mg 1818
Vitamin B2 (as riboflavin) 20mg 1429
Iron (as bisglycinate) 3mg 21
Selenium (as methionine) 55ug 100
Manganese (as citrate) 1mg 50
Vitamin K2 (MK-7) 10ug 13
Vitamin D3 (Vegan) (400IU) 10ug 200
Copper (as citrate) 1mg 100
Folic acid 400ug 200
Chromium (as picolinate) 30ug 75
Molybdenum 50ug 100
Vitamin B12 250ug 10,000
(as adenosylcobalamin and methylcobalamin)
In a base of alfalfa, spirulina and bilberry
Vegan (HPMC*) capsule 200mg
(*Hydroxypropylmethyl cellulose)
†European Community Nutrient Reference Value.",TRUE,0,Directions: As a food supplement take two capsules daily with food or as recommended by your healthcare practitioner.,32,5060003591078,Multivitamins,200
,products.product,0108,,65+ Multi - 60 Veg Caps,65+ Multi 60 Caps,viridian,60,caps,€30.70,T1,"Specifically formulated to support the nutritional status in the over 65s, with added digestive factors.


B vitamins and Iron contribute to a reduction tiredness and fatigue.


Vitamin C and Vitamin D contribute to the normal function of the immune system. Vitamin D aids in the maintenance of normal bones.


Vitamin B12 and folic acid contribute to normal homocysteine metabolism.


Zinc contributes to the maintenance of normal vision.

Also features Vitamins A, E K, Co-enzyme Q10, bioflavonoids and digestive enzymes (full details in Ingredients).


Cross-checked against common prescription medicines, but please check with your GP if you have concerns.","Vitamin A (retinol acetate) 2660iu	800ug	100
Vitamin B1 (thiamin HCl)	50mg	4546
Vitamin B2 (riboflavin)	10mg	714
Vitamin B3 (Nicotinamide)	40mg	250
Vitamin B5 (calcium pantothenate)	50mg	834
Vitamin B6 (pyridoxine HCl)	20mg	1428
Vitamin B12 (Adenosylcobalamin and Methylcobalamin)	100ug	4000
Biotin	100ug	200
Folic acid	200ug	100
Vitamin C (as Calcium ascorbate)	160mg	200
Vitamin D3 (600iu)	15ug	300
Vitamin E (d-alpha tocopherol succinate)	13mg	83
Vitamin K2 (MK-7)	15ug	20
Chromium (picolinate)	40ug	100
Iron (bisclycinate)	7mg	50
Selenium (methionine)	40ug	72
Zinc (citrate)	10mg	100
Alpha lipoic acid	50mg	
Citrus bioflavonoids	10mg	
Co-enzyme Q10	50mg	
Betaine HCI 	100mg	
Amylase (27,000 u/g)		
Lactase (65,000 units/g)		
Lipase (10,000 FIP/g)		
Protease (140 Casein Protease u/g)		",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare practitioner.",32,5060003591085,Multivitamins,158
,products.product,0109,,Woman 40+ Multi - 60 Veg Caps,Woman 40+ Multi 60 Caps,viridian,60,caps,€40.60,T1,"More than just a multivitamin, Woman 40+ Veg Caps is a multivitamin, mineral and phytonutrient combination that blends specially formulated nutrients balancing the needs of women aged over 40. Featuring Pomegranate extract, Resveratrol from Red Grape Skin extract, Green Coffee Bean extract, balanced B-complex, chelated minerals, gentle forms of iron and vitamin C, important trace minerals and carefully selected botanicals providing appropriate phytonutrients for this age group. B complex vitamins (B1, B2, B3, B5, B6 & B12) contribute to the reduction of tiredness and fatigue, to normal psychological function and mental performance, energy-yielding metabolism, the regulation of hormonal activity, the functioning of the immune, cardio and nervous systems and the maintenance of normal skin, mucous membranes, vision and red blood cells. B complex vitamins also contribute to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Take daily alongside Woman 40+ Omega Oil from Viridian Nutrition.","Pomegranate Extract (40% Ellagic acid) 50mg, 
Grape Skin Extract (Vitis Vinifera) (25% Polyphenols) 50mg, 
Green Coffee Bean Extract (45% Chlorogenic Acid)  50mg, 
Vitamin C (Ascorbic acid) 65mg, 
Magnesium Ascorbate 10mg, 
Manganese Citrate  1mg, 
Organic Kelp 50ug, 
D-Ca pantothenate (vitamin B5) 40mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 3mg, 
Lutein Extract 30mg, 
Calcium Ascorbate 5mg, 
Vitamin E (Natural D- Alpha tocopherol) 17mg, 
Pyridoxine HCl (Vitamin B6) 15mg, 
Thiamine (Vitamin B1) 13mg, 
Potassium Citrate 5mg, 
Alpha Lipoic Acid  13mg, 
Vitamin B2 (Riboflavin) 13mg, 
Nicotinamide (vitamin B3) 13mg, 
Co-Q10 (Ubiquinone) 10mg, 
Zinc Citrate 3mg, 
Horsetail extract (2% silica) 8mg, 
Iron Bisglycinate 1500ug, 
Choline bitartrate 3mg, 
Selenium (Methionine)  28ug, 
Sodium Borate 500ug, 
Inositol  3mg, 
Vitamin D3 (Cholecalciferol) 5ug, 
Copper Citrate 500ug, 
Vitamin K1 (phylloquinone) 25ug, 
Folic Acid 200ug, 
Chromium Picolinate 25ug, 
Iodine (potassium Iodide) 38ug, 
Ammonium Molybdate 25ug, 
Biotin 25ug, 
Adenosylcobalamin (Vitamin B12) 6ug, 
Methylcobalamin (Vitamin B12) 6ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry
ALLERGENS: This product contains sulphites",TRUE,Contains Sulphites,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare practitioner.",32,5060003591092,Multivitamins,168
,products.product,0110,,HIGH FIVE Multivit & Mineral Formula - 30 Veg Caps ,HIGH 5 Multivit & Mineral 30,viridian,30,caps,€13.90,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591108,Multivitamins,120
,products.product,0111,,HIGH FIVE Multivit & Mineral Formula - 60 Veg Caps ,HIGH 5 Multivit & Mineral 60,viridian,60,caps,€24.10,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591115,Multivitamins,174
,products.product,0112,,HIGH FIVE Multivit & Mineral Formula - 90 Veg Caps,HIGH 5 Multivit & Mineral 90,viridian,90,caps,€34.60,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591122,Multivitamins,234
,products.product,0113,,HIGH FIVE Multivit & Mineral Formula - 120 Veg Caps ,HIGH 5 Multivit & Mineral 120,viridian,120,caps,€44.45,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591139,Multivitamins,286
,products.product,0115,,MultiPhytoNutrient - 30 Veg Caps,MultiPhytoNutrient 30 Caps,viridian,30,caps,€23.40,T1,"MultiPhytoNutrient Complex is formulated to include optimum amounts and presentations of the best quality vitamins, minerals, co-factors and plant extracts. This is a two-a-day supplement. Vitamin C plays an essential role in numerous areas of human health. Vitamin C contributes to normal collagen formation for the normal function of bones, cartilage, skin, gums and teeth.  Vitamin C also enhances iron absorption and the normal energy-yielding metabolism. Vitamin C aids in the maintenance of the immune system including during and after intense physical exercise. Vitamin C contributes to normal psychological function, the functioning of the nervous system and contributes to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases.  B complex vitamins (B1, B2, B3, B5, B6 & B12) contribute to the reduction of tiredness and fatigue, to normal psychological function and mental performance, energy-yielding metabolism, the regulation of hormonal activity, the functioning of the immune, cardio and nervous systems and the maintenance of normal skin, mucous membranes, vision and red blood cells. B complex vitamins also contribute to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Vitamin D contributes to the maintenance of normal bones, teeth, muscle function and immune function.  MultiPhytoNutrient Complex is iron free.","Magnesium Ascorbate 141mg, 
Calcium Ascorbate 40mg, 
Zinc Ascorbate 40mg, 
D-Ca pantothenate (vitamin B5) 75mg, 
Grape Seed Extract (95% OPC) 60mg, 
Pine Bark Extract (95% OPC) 13mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 3mg, 
Sulphur Amino Acid Complex 25mg, 
Green Tea Extract (95% polyphenols) 25mg, 
Nicotinamide (vitamin B3) 25mg, 
Medium Chain Tryglycerides  25mg, 
Thiamine (Vitamin B1) 13mg, 
Pyridoxine HCl (Vitamin B6) 13mg, 
Vitamin B2 (Riboflavin) 13mg, 
Alpha Lipoic Acid  10mg, 
Co-Q10 (Ubiquinone) 10mg, 
Selenium (Methionine)  100ug, 
Bromelain 5mg, 
Quercetin 5mg, 
Organic Freeze-dried Acerola Vit C Powder 5mg, 
Manganese bisglycinate 500ug, 
Inositol  3mg, 
Choline bitartrate 1mg, 
Sodium Borate 250ug, 
Copper Citrate 1mg, 
Chromium Picolinate 100ug, 
Vitamin D3 (Cholecalciferol) 5ug, 
Folic Acid 100ug, 
Vitamin K1 (phylloquinone) 3ug, 
Ammonium Molybdate 25ug, 
Adenosylcobalamin (Vitamin B12) 13ug, 
Methylcobalamin (Vitamin B12) 13ug, 
Biotin 25ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare practitioner.",32,5060003591153,Multivitamins,118
