pk,model,main_image,sku,name,friendly_name,abbreviated_friendly_name,brand,size_value,size_unit,weight_g,price,vat_code,product_information,ingredients,free_from,allergens,usage,category,barcode,tags
0006,products.product,viridian-0006.jpg,viridian-0006,essential_female_multi_60_veg_caps,Essential Female Multi - 60 Veg Caps,Essential Female Multi 60 Caps,viridian,60,caps,182,46.4,T1,"Formulated specifically for the needs of the 18-39 age group. Iron contributes to the reduction of tiredness and fatigue, supports normal cognitive function, the formation of red blood cells and the immune system. B6 contributes to the regulation of hormone activity. A unique blend of high quality nutrients and botanical extracts to move beyond a basic multivitamin and support optimal health and vitality","One vegan capsule provides: Hibiscus flower (20% total acids) 50mg, 
Cranberry fruit  50mg, 
D-Ca pantothenate (vitamin B5) 50mg, 
Vitamin C (Ascorbic acid) 65mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 3mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Iron Bisglycinate 5mg, 
Vitamin E (Natural D- Alpha tocopherol) 17mg, 
Siberian Ginseng Extract (25:1) 20mg, 
Thiamine (Vitamin B1) 13mg, 
Zinc Citrate 5mg, 
Vitamin B2 (Riboflavin) 13mg, 
Nicotinamide (vitamin B3) 13mg, 
Saffron extract (0.3% saffranal) 10mg, 
Potassium Citrate 5mg, 
Magnesium Citrate  1mg, 
Horsetail extract (2% silica) 8mg, 
Choline bitartrate 3mg, 
Selenium (Methionine)  28ug, 
Co-Q10 (Ubiquinone) 5mg, 
Calcium Citrate 5mg, 
Inositol  3mg, 
Sodium Borate 250ug, 
Vitamin D3 (Cholecalciferol) 5ug, 
Magnesium Citrate 10mg, 
Copper Citrate 1mg, 
Chromium Picolinate 50ug, 
Vitamin K1 (phylloquinone) 10ug, 
Folic Acid 200ug, 
Iodine (potassium Iodide) 38ug, 
Kelp 38ug,
Ammonium Molybdate 25ug, 
Biotin 25ug, 
Adenosylcobalamin (Vitamin B12) 5ug, 
Methylcobalamin (Vitamin B12) 5ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare professional.",32,5060003590064,"multivitamins, kosher, vegan"
0007,products.product,viridian-0007.jpg,viridian-0007,essential_male_multi_90_veg_caps,Essential Male Multi - 90 Veg Caps,Essential Male Multi 90 Caps,viridian,90,caps,234,34.6,T1,"Specifically formulated to be an exceptional masculine supplement formula. Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. Selenium contributes to normal spermatogenesis (the creation of sperm), to the maintenance of normal hair and nails, the normal function of the immune system and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Selenium contributes to normal spermatogenesis (the creation of sperm), to the maintenance of normal hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. B6 (pyridoxine) contributes the regulation of hormonal activity, to the reduction of tiredness and fatigue, the energy-yielding metabolism, to normal psychological function and the functioning of the nervous system. Vitamin B6 also contributes to the normal function of the immune system, to normal homocysteine metabolism and red blood cell formation. Copper contributes to normal energy-yielding metabolism, the maintenance of normal connective tissues, to the normal pigmentation of hair and skin, the normal function of the nervous and immune systems, and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases.  Folic acid (folate) contributes to a reduction in tiredness and fatigue, the normal function of the immune system, normal psychological function, and the processes of normal homocysteine metabolism, amino acid synthesis, cell division and blood formation.  B12 contributes to normal homocysteine metabolism and red blood cell formation, to the reduction of tiredness and fatigue, the energy-yielding metabolism, to normal psychological function and the functioning of the nervous system. Vitamin B12 also contributes to the normal function of the immune system.","Nettle Root 70mg, 
Zinc picolinate  13mg, 
Damiana Leaf 50mg, 
Pumpkin Seed 5:1 50mg, 
Organic Tomato 40mg, 
Broccoli extract 2:1 28mg, 
Lycopene Extract 250ug, 
Pine Bark Extract (95% OPC) 15mg, 
Co-Q10 (Ubiquinone) 13mg, 
Selenium (Methionine)  50ug, 
Pyridoxine HCl (Vitamin B6) 5mg, 
Grape Seed Extract (95% OPC) 5mg, 
Copper Citrate 1mg, 
Folic Acid 200ug, 
Cyanocobalamin Vitamin B12 100ug
In a base of Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare professional.",32,5060003590071,"multivitamins, vegan"
0011,products.product,viridian-0011.jpg,viridian-0011,cold_season_pack,Cold Season Pack,Cold Season Pack,viridian,1,box,252,37.6,T1,"Get set for the Cold Season. Vitamin C contributes to the normal function of the immune system. Beta glucan in the 1,3/ 1,6 form alongside buffered vitamin C, zinc, citrate and vegan vitamin D3 from lichen. Part of the award-winning range from Viridian Nutrition, the leading name in ethical nutrition and beauty.","Ester-C™ 550mg  - 30 Veg Caps 1, 
Beta Glucan 250mg (Plus vitamin C D3 and Zinc) - 30 Veg Caps 1, 
Cold Season Pack Carton 1",TRUE,0,See Individual Items,29,5060003590118,"boxed_packs_n_collections, vitamin_c, vitamin_d, kosher, vegan, zinc"
0012,products.product,viridian-0012.jpg,viridian-0012,festive_digestive_pack,Festive Digestive Pack,Festive Digestive Pack,viridian,1,box,236,26.35,T1,"An attractive gift box featuring two of our best selling supplements: Organic Milk Thistle 400mg and High Potency Digestive Aid.  Part of the award-winning range from Viridian Nutrition, the leading name in ethical nutrition and beauty.","Hi-Potency Digestive Aid - 30 Veg Caps 1, 
Organic Milk Thistle 400mg - 30 Veg Caps  1, 
Festive Digestive Pack Carton 1",TRUE,0,See Individual Items,27,5060003590125,"boxed_packs_n_collections, vegan, digestive_aids_probiotics"
0015,products.product,viridian-0015.jpg,viridian-0015,l_carnitine_500mg_30_veg_caps,L-Carnitine 500mg - 30 Veg Caps,L-Carnitine 500mg 30 Caps,viridian,30,caps,132,33.45,T1,"Vegan source L-Carnitine in a base of alfalfa, spirulina and bilberry.","L-Carnitine  500mg
In a base of  Alfalfa and Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",31,5060003590156,"amino_acids, vegan, kosher"
0017,products.product,viridian-0017.jpg,viridian-0017,l_carnitine_500mg_60_veg_caps,L-Carnitine 500mg - 60 Veg Caps,L-Carnitine 500mg 60 Caps,viridian,60,caps,187,61.4,T1,"Vegan source L-Carnitine in a base of alfalfa, spirulina and bilberry.","L-Carnitine  500mg
In a base of  Alfalfa and Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",31,5060003590170,"amino_acids, vegan, kosher"
0020,products.product,viridian-0020.jpg,viridian-0020,balanced_amino_acid_complex_90_veg_caps,Balanced Amino Acid Complex - 90 Veg Caps,Balanced Amino Complex 90 Caps,viridian,90,caps,238,0,T1,This food supplement provides essential amino acids in an appropriately balance ratio.,"L-Leucine  130mg
L-Phenylalanine 130mg
L-Lysine  100mg
L-Histidine  76mg
L-Isoleucine  76mg
L-Valine  66mg
L-Methionine  50mg
L-Threonine  50mg
L-Tryptophan  20mg ",TRUE,0,"Directions: As a food supplement, take one to three capsules daily away from food, or as directed by your healthcare professional.",31,5060003590200,amino_acids
0021,products.product,viridian-0021.jpg,viridian-0021,l_theanine_200mg_and_lemon_balm_30_veg_caps,L-Theanine (200mg) and Lemon Balm - 30 Veg Caps,L-Theanine w Lemon Balm 30s,viridian,30,caps,112,25.2,T1,L-Theanine (a water soluble amino acid and a constituent of green tea) with lemon balm extract.,"Lemon Balm 300mg, 
L-Theanine 200mg
In a base of Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one capsule 1-2 times daily, or as directed by your healthcare practitioner.",31,5060003590217,"amino_acids, vegan, kosher"
0022,products.product,viridian-0022.jpg,viridian-0022,l_theanine_200mg_and_lemon_balm_90_veg_caps,L-Theanine (200mg) and Lemon Balm - 90 Veg Caps,L-Theanine w Lemon Balm 90s,viridian,90,caps,208,50.9,T1,L-Theanine (a water soluble amino acid and a constituent of green tea) with lemon balm extract.,"Lemon Balm 300mg, 
L-Theanine 200mg
In a base of Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one capsule 1-2 times daily, or as directed by your healthcare practitioner.",31,5060003590224,"amino_acids, vegan, kosher"
0025,products.product,viridian-0025.jpg,viridian-0025,l_glutamine_powder_100g,L-Glutamine Powder 100g,L-Glutamine Powder 100g,viridian,100,g,258,24.4,T1,Convenient and cost-effective presentation of this popular amino acid.  Simply add to water or juice.,L-Glutamine 3500g,TRUE,0,"Directions: As a food supplement, take one level teaspoon daily in a small amount of water or juice away from meals, or as directed by your healthcare professional.",31,5060003590255,"amino_acids, vegan, kosher"
